HotelReviews,Labels,review_without_stopwords
"i got married in the chicago area this passed weeknd and my guests all stayed at the ambassador east hotel. they had nothing but nice things to say about it! my husbands mother is terribly picky about where she stays and this hotel met her needs. the rooms are decorated so nicely and they don't have that funny hotel smell. the pump room was a fun place for the men to hang and watch sports. if i'm ever in the area again i will be sure to book a room at the ambassador east hotel!
",deceptive,got married chicago area passed weeknd guests stayed ambassador east hotel. nothing nice things say it! husbands mother terribly picky stays hotel met needs. rooms decorated nicely funny hotel smell. pump room fun place men hang watch sports. i'm ever area sure book room ambassador east hotel!
"upon arrival at the ambassador east hotel in chicago, i was immediately impressed with the courtesy and attentiveness of the staff. from the moment we checked-in until we left; the staff, from the front desk to roomkeeping were extememly pleasant and accomodating. since we had our two daughters with us, we booked the traditional double room. the room was very nice with comfortable beds and a great view too. it had plenty of room for the four of us--or should i say five of us. the girls did not want to leave home without chichi, our teacup chihuahua. fortunately, the amabassador east allows small pets (with a pet waiver). that made everybody happy! the location is great as well. conviently located. easy to get to from lakeshore drive. close to the museums. i'm looking forward to my next visit to chicago. i'll be staying here again!
",deceptive,"upon arrival ambassador east hotel chicago, immediately impressed courtesy attentiveness staff. moment checked-in left; staff, front desk roomkeeping extememly pleasant accomodating. since two daughters us, booked traditional double room. room nice comfortable beds great view too. plenty room four us--or say five us. girls want leave home without chichi, teacup chihuahua. fortunately, amabassador east allows small pets (with pet waiver). made everybody happy! location great well. conviently located. easy get lakeshore drive. close museums. i'm looking forward next visit chicago. i'll staying again!"
"this hotel was an absolute dream to stay in. i couldn't have picked a better hotel to spend in such luxury. i enjoyed the set up of the rooms and the space they offered.the room decor was extremely elegant and the location was great as well. i honestly felt like i was at a spa! the price was very reasonable as well. i would definetly recommend this hotel to everyone i know. if you ever get a chance to spend a night here definetly choose the suite rooms!!!
",deceptive,hotel absolute dream stay in. picked better hotel spend luxury. enjoyed set rooms space offered.the room decor extremely elegant location great well. honestly felt like spa! price reasonable well. would definetly recommend hotel everyone know. ever get chance spend night definetly choose suite rooms!!!
"the experince at the hard rock hotel in chicago was fantastic,i will rate them a 6 out of 5. they have wonderful service and great staff and the view is just wonderful.
",deceptive,"experince hard rock hotel chicago fantastic,i rate 6 5. wonderful service great staff view wonderful."
"friendly staff, clean building and rooms. the hotel was located nearby everything we were interested in seeing. staff was willing to help give directions and very knowledgable of city. rooms were beautifully designed and well lit, spacious and comfortable. 
",deceptive,"friendly staff, clean building rooms. hotel located nearby everything interested seeing. staff willing help give directions knowledgable city. rooms beautifully designed well lit, spacious comfortable."
"the ambassador east hotel in chicago is a fantastic up-scale hotel to stay in while visiting the windy city. my fiancee and i enjoyed one of the king rooms on our recent stay. the staff was exceptionally friendly and helpful - some of the best i've ever dealt with when traveling, and valet parking is always a perk! the rooms were very nice and had all the amenities you would want when at a high-end hotel. the bed was extremely comfortable! there was cable tv, of course, and hbo was included, so there was always something to watch. wireless internet signal was excellent and i had no trouble getting online. we had dinner in the hotel restaurant twice during our stay, and the food was fantastic! great atmosphere as well - we usually only do the hotel restaurant one night on a stay, but this one was worth going back to! overall, it was an incredible stay, and we hope to stay at the ambassador east again next time we're in chicago! 
",deceptive,"ambassador east hotel chicago fantastic up-scale hotel stay visiting windy city. fiancee enjoyed one king rooms recent stay. staff exceptionally friendly helpful - best i've ever dealt traveling, valet parking always perk! rooms nice amenities would want high-end hotel. bed extremely comfortable! cable tv, course, hbo included, always something watch. wireless internet signal excellent trouble getting online. dinner hotel restaurant twice stay, food fantastic! great atmosphere well - usually hotel restaurant one night stay, one worth going back to! overall, incredible stay, hope stay ambassador east next time we're chicago!"
"if you're looking for an elegant hotel in downtown chicago, you have to stay here. the ambassador east hotel has very comfortable and beautiful large rooms and is like a home away from home. the perfect place for a business person, and if you have a small pet you can bring them too! i would give this place four stars and would definitely stay here again.
",deceptive,"looking elegant hotel downtown chicago, stay here. ambassador east hotel comfortable beautiful large rooms like home away home. perfect place business person, small pet bring too! would give place four stars would definitely stay again."
"i took my family to the affinia chicago for a short vacation last summer and it was fabulous. my kids say that their favorite part was the pool and the fact that the amusement park is really close by. my wife was really stoked with spaffina. the pampering and really made her feel special. and they are very attentive to pets also. my dog we left home but he would have been stoked with the pets amenities and attention.the hotel is also connected to a ton of other hotels, so their stash award lets you earn points at a lot of other hotels also. my favorite part of all was that my family was happy and content, which left me free to go over to underground wonderbar for a nice cocktail.
",deceptive,"took family affinia chicago short vacation last summer fabulous. kids say favorite part pool fact amusement park really close by. wife really stoked spaffina. pampering really made feel special. attentive pets also. dog left home would stoked pets amenities attention.the hotel also connected ton hotels, stash award lets earn points lot hotels also. favorite part family happy content, left free go underground wonderbar nice cocktail."
"amazing and beautiful! i stayed two nights here and the room was immaculate. all of the staff were extremely nice and welcoming. the food was delicious and fixed to perfection. the entire hotel was clean, warm and inviting. will definitely stay here again and recommend to any of my friends traveling to the area.
",deceptive,"amazing beautiful! stayed two nights room immaculate. staff extremely nice welcoming. food delicious fixed perfection. entire hotel clean, warm inviting. definitely stay recommend friends traveling area."
"wow! loved the ambassador east hotel in chicago! it was so close to all the great sights of chicago like navy pier, lake michigan, and all the fabulous dining. the hotel was very classy and the rooms were furnished in a traditional, but cozy manner. the entire family loved it, even the dog...because they are also pet friendly at the ambassador east hotel! we loved the restaurant there, the pump room was great, something to please even the pickiest of our eaters. we were there on a family get-away, but asked to see a larger ""suite"". the suites were gorgeous. i can't wait to tell our friends about this place! our next business trip to chicago, we are booking at this hotel. they have the perfect conference rooms and we love the service! we are definitely coming back!
",deceptive,"wow! loved ambassador east hotel chicago! close great sights chicago like navy pier, lake michigan, fabulous dining. hotel classy rooms furnished traditional, cozy manner. entire family loved it, even dog...because also pet friendly ambassador east hotel! loved restaurant there, pump room great, something please even pickiest eaters. family get-away, asked see larger ""suite"". suites gorgeous. can't wait tell friends place! next business trip chicago, booking hotel. perfect conference rooms love service! definitely coming back!"
"after searching for the perfect hotel for my chicago getaway i knew once i came across the hard rock hotel, that this was the hotel for me. after seeing the exceptional accommodations the hotel offered, i booked my reservations right away. when i arrived at the hotel i was astonished at how beautiful and big the building and grounds were kept. i was greeted warmly by the front staff and received my room key within a few minutes. i was also given helpful pointers to nearby attractions and restaurants. i took the elevator up to my room, and when i opened the door my jaw dropped as the views of the chicago skyline was impeccable. after relaxing i went down to the bar for a few cocktails and was impressed by the fast, courteous service i received. after my cocktail hour, i decided to unwind and let me tell you the beds must be sent from heaven. i had one of the best nights of sleep i have had in a long time. i highly recommend the hard rock as i have stayed at many around the us and this is definitely on my top 5 list. hope you all enjoy it as much as i did, and i can't wait to return. ashley b.
",deceptive,"searching perfect hotel chicago getaway knew came across hard rock hotel, hotel me. seeing exceptional accommodations hotel offered, booked reservations right away. arrived hotel astonished beautiful big building grounds kept. greeted warmly front staff received room key within minutes. also given helpful pointers nearby attractions restaurants. took elevator room, opened door jaw dropped views chicago skyline impeccable. relaxing went bar cocktails impressed fast, courteous service received. cocktail hour, decided unwind let tell beds must sent heaven. one best nights sleep long time. highly recommend hard rock stayed many around us definitely top 5 list. hope enjoy much did, can't wait return. ashley b."
"my stay at the ambassador east hotel was a pleasant one. i loved being able to take a quick stroll to michigan ave for some shopping. i also loved the pump room. what a fun place to hang out and enjoy a blood mary. the front desk staff was wonderful with my check in since my reservation was lost. they found me a room immediately even though the city was book up. i thought the rooms were clean and well maintained. the shampoo was great and i decided to take it home with me. i am looking forward to another stay at the ambassador east in the spring when i return to chicago. 
",deceptive,stay ambassador east hotel pleasant one. loved able take quick stroll michigan ave shopping. also loved pump room. fun place hang enjoy blood mary. front desk staff wonderful check since reservation lost. found room immediately even though city book up. thought rooms clean well maintained. shampoo great decided take home me. looking forward another stay ambassador east spring return chicago.
"i am writing about my recent stay at the ambassador east hotel. i just wanted to let you know what a wonderful team you have working there. everyone from check-in to check-out couldn't have been more helpful or personable. it made my mundane business trip a very pleasureable one. the hotel is spotless, very comfortable and the restaurant is one of chicago's finest. you really offer the finest quality in both product and service. the only complaint i have is that internet access is not free. i would just like to mention one person in particular- sofie. she worked on the front desk and she went above and beyond to make my stay as smooth as possible. she even helped me out with taxi services and local recommendations. i shall look forward to returning next month. thank you. yours, p. grady 
",deceptive,"writing recent stay ambassador east hotel. wanted let know wonderful team working there. everyone check-in check-out helpful personable. made mundane business trip pleasureable one. hotel spotless, comfortable restaurant one chicago's finest. really offer finest quality product service. complaint internet access free. would like mention one person particular- sofie. worked front desk went beyond make stay smooth possible. even helped taxi services local recommendations. shall look forward returning next month. thank you. yours, p. grady"
"i enjoyed my stay at the ambassador east hotel in chicago. the staff was friendly and helpful from the time i checked in all the way through checkout. the hotel was very clean and well maintained. the beds were very comfortable! the hotel restaurant/lounge was very cozy and a nice way to unwind after a long day. the only thing i was unhappy about was the fact that internet service is not complimentary at this hotel. i reccomend this hotel and i will stay there again on my next trip to chicago!
",deceptive,enjoyed stay ambassador east hotel chicago. staff friendly helpful time checked way checkout. hotel clean well maintained. beds comfortable! hotel restaurant/lounge cozy nice way unwind long day. thing unhappy fact internet service complimentary hotel. reccomend hotel stay next trip chicago!
"for a short time during vacation i had rented a room from the ambassador east hotel, i have to say i was quite impressed with what i experienced and would referre others looking to stay in a hotel to that given location. the hotel is comfortable and spacey with nice staff who are always polite to aid you whenever it is needed, and trust me i am not the nicest person in the world so this says a lot. the food is good, location is great, everything is easily accessible and all the given luxuries of a hotel are well kept here.
",deceptive,"short time vacation rented room ambassador east hotel, say quite impressed experienced would referre others looking stay hotel given location. hotel comfortable spacey nice staff always polite aid whenever needed, trust nicest person world says lot. food good, location great, everything easily accessible given luxuries hotel well kept here."
"the talbot hotel is an elegant place to take you wife or husband for a weekend getaway. the personally yours romantic package was fabulous. upon check in we opened our room door and found a romantic atmosphere. there was rose pedals and luxurious bathrobes. we felt like it was our honey moon all over again. 
",deceptive,talbot hotel elegant place take wife husband weekend getaway. personally romantic package fabulous. upon check opened room door found romantic atmosphere. rose pedals luxurious bathrobes. felt like honey moon again.
"my husband and i came to the ambassador east hotel for my sister's wedding. the hotel had been very helpful and professional in helping us coordinate a wedding with over 200 guests. when we arrived we were impressed by how organized they were, helping us check and get our guests situated. they were even nice enough to let us leave guest gift bags in each of our guest's rooms. our rooms were clean and beautifully appointed, with a view of the city. we held the rehearsal dinner/groomsman party in the pump room which has a gorgeous bar complete with celebrity photos on the wall. after my sister was married in a church downtown, we held the reception in the large banquet hall. again the hotel was great about shuttling all of our guests and helping us arrange dinner, the dj and all of the wedding's decorations. we had a great time. ambassador east hotel is highly recommended!
",deceptive,"husband came ambassador east hotel sister's wedding. hotel helpful professional helping us coordinate wedding 200 guests. arrived impressed organized were, helping us check get guests situated. even nice enough let us leave guest gift bags guest's rooms. rooms clean beautifully appointed, view city. held rehearsal dinner/groomsman party pump room gorgeous bar complete celebrity photos wall. sister married church downtown, held reception large banquet hall. hotel great shuttling guests helping us arrange dinner, dj wedding's decorations. great time. ambassador east hotel highly recommended!"
"o.m.g best hotel ever ! i've stayed at various hotels in the area and the service has been really suckish. evan at one hotel i stayed at they had a molded sandwhich under the bed , how gross and i could of really got sick ! but this hotel was the perfect location right by the beach and by all the clubs . ohh . and the pump room , the best food i've evr had at a hotel . i evan got to take a picture with queen anne ! i will never regret coming to this hotel! i loved this hotel so much me and my bridemaid's stayed here . and it's just walking distance from all the popular food places and clubs . ( all the places to be at least )
",deceptive,"o.m.g best hotel ever ! i've stayed various hotels area service really suckish. evan one hotel stayed molded sandwhich bed , gross could really got sick ! hotel perfect location right beach clubs . ohh . pump room , best food i've evr hotel . evan got take picture queen anne ! never regret coming hotel! loved hotel much bridemaid's stayed . walking distance popular food places clubs . ( places least )"
"the ambassador east hotel is a business that certainly strives to keep its customers satisfied. upon my entrance at the ambassador east, i was greeted warmly. the staff was incredibly pleasant, and the accommodations were top-knotch. the food served at the award-winning ""pump room"" was to die for, and the service was fast but friendly. 
",deceptive,"ambassador east hotel business certainly strives keep customers satisfied. upon entrance ambassador east, greeted warmly. staff incredibly pleasant, accommodations top-knotch. food served award-winning ""pump room"" die for, service fast friendly."
"the ambassador east hotel hello my current visit to the ambassador east hotel. i really enjoy my 3 day weekend stay at this hotel. this was my first time at the hotel and i reserved a king size suite. inside my room there was nice view of chicago's gold coast. i really needed to get some work done for my business trip and this room was perfect for the situation. i could easily relax on my king size bed. i watch hbo on a enormous size flat screen tv for free. also when i did do my work there was nice wooden desk in my room with a desk lamp and wifi modem. it so nice to have my laptop with me and able to use it on a good workstation in my room. after finishing my work i have time to check the complimentary fitness room. lastly i left the next day, i had one of the finest breakfast dishes from their pump room restaurant. overall the ambassador east hotel is a 5 out 5 hotel and really worth the stay. 
",deceptive,"ambassador east hotel hello current visit ambassador east hotel. really enjoy 3 day weekend stay hotel. first time hotel reserved king size suite. inside room nice view chicago's gold coast. really needed get work done business trip room perfect situation. could easily relax king size bed. watch hbo enormous size flat screen tv free. also work nice wooden desk room desk lamp wifi modem. nice laptop able use good workstation room. finishing work time check complimentary fitness room. lastly left next day, one finest breakfast dishes pump room restaurant. overall ambassador east hotel 5 5 hotel really worth stay."
"""classy"",""decent"" and ""serene"". these words clearly define the totality of my stay at the talbott hotel in the heart of chicago. the hustle and bustle of the city did little to affect the conducive atmosphere for relaxation provided by this posh hotel. the lounge was so welcoming and flashes of smiles from every angle.the staff from the bell-boy to the managers were polite, helpful and responsive to my needs. the room service was classy and to cap it all the beds were just as comfortable as back home, making the talbott a home away from home. my wife and i enjoyed the t-rex experience and learnt a lot about the city of chicago and what it has got to offer. believe me we will return with the kids because the talbott is family oriented and friendly to kids. it felt very safe. anytime we are in chicago the talbott is gonna be our home away from home!
",deceptive,"""classy"",""decent"" ""serene"". words clearly define totality stay talbott hotel heart chicago. hustle bustle city little affect conducive atmosphere relaxation provided posh hotel. lounge welcoming flashes smiles every angle.the staff bell-boy managers polite, helpful responsive needs. room service classy cap beds comfortable back home, making talbott home away home. wife enjoyed t-rex experience learnt lot city chicago got offer. believe return kids talbott family oriented friendly kids. felt safe. anytime chicago talbott gonna home away home!"
"this fantastic hotel has it all: luxury, an excellent location and a fun atmosphere. the rooms are spacious and well decorated, and the staff is always helpful and courteous. whether you're traveling for business or fun, i highly recommend the hard rock hotel in chicago. i stayed there with my wife recently, we were on a short weekend break and we wanted to enjoy the music an just have fun. the hard rock certainly delivered what we were looking for. the hotel is in a central location, within easy reach of the main tourist spots in the city, however, there's superb food on site and the best entertainment you could wish for, so there's barely a need to leave to hotel! (well, we did leave the hotel to see the sights, but you know what i mean). my wife and i particularly enjoyed the gym and spa facilities, including a relaxing massage. this hotel surpassed our expectations in every possible way, and we'll surely be staying there again the next time we visit the windy city. 
",deceptive,"fantastic hotel all: luxury, excellent location fun atmosphere. rooms spacious well decorated, staff always helpful courteous. whether traveling business fun, highly recommend hard rock hotel chicago. stayed wife recently, short weekend break wanted enjoy music fun. hard rock certainly delivered looking for. hotel central location, within easy reach main tourist spots city, however, there's superb food site best entertainment could wish for, there's barely need leave hotel! (well, leave hotel see sights, know mean). wife particularly enjoyed gym spa facilities, including relaxing massage. hotel surpassed expectations every possible way, we'll surely staying next time visit windy city."
"the affinia manhattan is fantastic! my husband and i stayed there when we went to visit my sister. i loved the room. it was one of the best hotel beds we have ever slept in. the view was incredible. manhattan is one of the most beautiful places i have ever been. the staff was very helpful as well. they had no problem going out of their way to be helpful. i would suggest this hotel to anybody!
",deceptive,affinia manhattan fantastic! husband stayed went visit sister. loved room. one best hotel beds ever slept in. view incredible. manhattan one beautiful places ever been. staff helpful well. problem going way helpful. would suggest hotel anybody!
"the stunning bay at chicago finds its equal in the ambassador east hotel. this hotel feels like luxury was built into everything, down to the wonderful room service and conference rooms. besides being in an active neighborhood in chicago, the ambassador east is close enough to the action and beautiful sights chicago has to offer. the overall service of the hotel was wonderful. i felt like i was treated as a king. the room was very neat, regal, and relaxing. i especially liked the bathroom as it was clean and soothing. the pump room was also a great place for excellent dining. my stay here was completely enjoyable while maintaining a high level of productivity. overall, the stay here was fantastic and worth every penny. i would return to the ambassador east hotel in a heartbeat if given the opportunity.
",deceptive,"stunning bay chicago finds equal ambassador east hotel. hotel feels like luxury built everything, wonderful room service conference rooms. besides active neighborhood chicago, ambassador east close enough action beautiful sights chicago offer. overall service hotel wonderful. felt like treated king. room neat, regal, relaxing. especially liked bathroom clean soothing. pump room also great place excellent dining. stay completely enjoyable maintaining high level productivity. overall, stay fantastic worth every penny. would return ambassador east hotel heartbeat given opportunity."
"i was in town to visit my cousin an stayed for three nights at this wonderful hotel. its so close to the shopping i wanted to do with my cousin , granted i had a personal guide a.k.a. my cousin janice. the amenities were unbelieveable an the service was great with the upmost hospitality. would recomend to everyone great for kids an adults. the room and view were spectacular, the beds were very comfy and the room was emaculate.
",deceptive,"town visit cousin stayed three nights wonderful hotel. close shopping wanted cousin , granted personal guide a.k.a. cousin janice. amenities unbelieveable service great upmost hospitality. would recomend everyone great kids adults. room view spectacular, beds comfy room emaculate."
"the ambassador east hotel, located in downtown chicago, is one of the best hotels i've ever stayed in. my wife and i went into the city on a weekend getaway and found the ambassador east on a hotel booking website. their rates are very, very reasonable for the high class and luxury that they provide. i was pleased to know that they allow pets as we decided to go into the city last minute and couldn't find anyone to watch our dog for the weekend. i was more than pleased with the friendly staff and felt like their hotel put an extra emphasis on knowing their customer, which is nice because most places in chicago are very impersonal. all in all i was very pleased with our stay and would recommend it to anyone looking for a place to stay in the downtown area. 5/5 stars. 
",deceptive,"ambassador east hotel, located downtown chicago, one best hotels i've ever stayed in. wife went city weekend getaway found ambassador east hotel booking website. rates very, reasonable high class luxury provide. pleased know allow pets decided go city last minute find anyone watch dog weekend. pleased friendly staff felt like hotel put extra emphasis knowing customer, nice places chicago impersonal. pleased stay would recommend anyone looking place stay downtown area. 5/5 stars."
" the hard rock hotel chicago is great alternative to ordinary hotels. the hotel is decorated with a huge variety of music memorabilia that makes the stay worth it alone. the hotel is often visited by many talented artists including singers, dancers,actors etc. the staff were very polite and helpful and always pleasant. the rooms were very clean and nicely decorated, as were the common areas and hallways. i would highly recommend the hotel to anyone staying in the area.
",deceptive,"hard rock hotel chicago great alternative ordinary hotels. hotel decorated huge variety music memorabilia makes stay worth alone. hotel often visited many talented artists including singers, dancers,actors etc. staff polite helpful always pleasant. rooms clean nicely decorated, common areas hallways. would highly recommend hotel anyone staying area."
"the talbott hotel is fantastic! i stayed there on business and found that it met my every need. the high speed internet access worked flawlessly; allowed me to do much of my work from the comfort of my luxuriously appointed room. i really like to exercise before a day of meetings; access to the fitness club next door was very convenient. last point: i work for a green consulting firm out of l.a. and the hotel's environmental credentials dovetailed perfectly with our mission. guilt free luxury!
",deceptive,talbott hotel fantastic! stayed business found met every need. high speed internet access worked flawlessly; allowed much work comfort luxuriously appointed room. really like exercise day meetings; access fitness club next door convenient. last point: work green consulting firm l.a. hotel's environmental credentials dovetailed perfectly mission. guilt free luxury!
